task_id,verdict,errors,warnings
62a9acb1f0a44300173f6ee8,failed,Task 62a9acb1f0a44300173f6ee8 has no response,
62a9ac81d8c5650023aa7053,failed,Task 62a9ac81d8c5650023aa7053 has no response,
5f127f6f26831d0010e985e5,failed,,"Annotation ada7893a-3ee1-4d69-b06b-87240a9522cd: Traffic lights should have background color set as other, double check if this is a traffic light"
5f127f6c3a6b1000172320ad,failed,"Annotation 0bc2ab2c-16b0-461e-8866-08f3bdc87238: Has truncation values but is not close to the edges, Annotation 8f9e0df3-7534-46ab-b7b4-dbae311c88cd: Only non_visible_face should have the background color set as not_applicable, Annotation dda85426-ba5f-4910-b92b-e50fc0bfb793: Only non_visible_face should have the background color set as not_applicable, Annotation 0bc2ab2c-16b0-461e-8866-08f3bdc87238: Only non_visible_face should have the background color set as not_applicable, Annotation fd7a83ed-cbcc-4b98-8746-98c7551cb4a2: Only non_visible_face should have the background color set as not_applicable","Annotation 8f9e0df3-7534-46ab-b7b4-dbae311c88cd: Traffic lights should have background color set as other, double check if this is a traffic light, Annotation dda85426-ba5f-4910-b92b-e50fc0bfb793: Traffic lights should have background color set as other, double check if this is a traffic light, Annotation 0bc2ab2c-16b0-461e-8866-08f3bdc87238: Traffic lights should have background color set as other, double check if this is a traffic light"
5f127f699740b80017f9b170,failed,,"Annotation da493933-bb23-4179-a3ce-16c2b8b14d8c: Traffic lights should have background color set as other, double check if this is a traffic light, Annotation 15e7ee7c-ae01-434d-a0b7-54d4403d5533: Traffic lights should have background color set as other, double check if this is a traffic light, Annotation e341eb36-7501-4413-9609-6d2244511000: Traffic lights should have background color set as other, double check if this is a traffic light, Annotation 2b0b1670-30be-4573-9fa3-c1aa9b51802a: Traffic lights should have background color set as other, double check if this is a traffic light"
5f127f671ab28b001762c204,failed,Annotation b4efc369-f34e-4e55-97b3-fc380ad4dcbd: Doesn't have truncation values but is close to the edges,"Annotation 07acd587-b5e9-4917-a4fe-28f01674788b: Traffic lights should have background color set as other, double check if this is a traffic light, Annotation 889b97d6-d5c8-4694-af23-cbfb5b206902: Traffic lights should have background color set as other, double check if this is a traffic light, Annotation c40b230e-d938-4d56-a2f5-0f0cc60242f1: Traffic lights should have background color set as other, double check if this is a traffic light, Annotation aa4e95c4-dedf-4083-8309-f2060151a122: Traffic lights should have background color set as other, double check if this is a traffic light, Annotation 64eb36b3-aa8f-4672-8e2c-2504e728187d: Traffic lights should have background color set as other, double check if this is a traffic light, Annotation 553d8f3a-8a91-4834-a415-50b29034aa23: Traffic lights should have background color set as other, double check if this is a traffic light, Annotation fe478408-f175-4b8f-a20c-65cedf2b8385: Traffic lights should have background color set as other, double check if this is a traffic light, Annotation 0c2ecdda-b441-44db-b1ec-e0295f82cb2d: Traffic lights should have background color set as other, double check if this is a traffic light"
5f127f643a6b1000172320a5,passed,,
5f127f5f3a6b100017232099,failed,"Annotation 9a3eac82-aeca-48df-a58f-76179d26e8ac: Doesn't have truncation values but is close to the edges, Annotation 08333b85-b375-447f-a66f-99f1b053fe9c: Has truncation values but is not close to the edges, Annotation 25e6e90c-7acb-4786-a0fb-ca7b10fc3687: Doesn't have truncation values but is close to the edges, Annotation 25e6e90c-7acb-4786-a0fb-ca7b10fc3687: Boxes should not exceed 500px in width or height",
5f127f5ab1cb1300109e4ffc,failed,,"Annotation 80d5d8f9-82f5-4369-87cf-78f0fd846e21: Traffic lights should have background color set as other, double check if this is a traffic light, Annotation c46a8006-591d-483d-a375-983b02b158a9: Traffic lights should have background color set as other, double check if this is a traffic light, Annotation 02d596ed-dfc2-4b3c-aafd-9f309c7ef248: Traffic lights should have background color set as other, double check if this is a traffic light"
5f127f55fdc4150010e37244,passed,,
